,Publish_time,Video_title,View,Like,Comment,Video_ID
55,2022-02-20,LEEDS - MAN UTD ,2952350,34053,1905,NGBp5WwlY9A
56,2022-02-20,BRIGHTON - BURNLEY ,182356,1362,109,0f9pshMh2I4
57,2022-02-20,ASTON VILLA - WATFORD,431917,2995,92,QSFQ__ym6Q4
58,2022-02-19,MAN CITY - TOTTENHAM,3484727,40557,3511,ZuH6C5cWwEU
59,2022-02-19,CRYSTAL PALACE - CHELSEA ,701917,6325,245,aAUC13sw9Yo
60,2022-02-19,ARSENAL - BRENTFORD ,1020984,8058,608,msvHLMUstzQ
61,2022-02-19,SOUTHAMPTON - EVERTON,379594,2379,117,OQ8nxGRaH9Q
62,2022-02-19,LIVERPOOL - NORWICH ,1199220,9417,590,1oFZgdfhpK4
63,2022-02-19,WEST HAM - NEWCASTLE ,437679,3223,166,zOPSArj45lI
64,2022-02-15,MANCHESTER UNITED - BRIGHTON ,3219129,40403,2744,y4gjI1hSHBg
65,2022-02-13,LEICESTER - WEST HAM ,939596,6971,243,QwgTLxqrkn4
66,2022-02-13,NEWCASTLE - ASTON VILLA,487935,4020,169,uyY6Aa6eFxg
67,2022-02-13,TOTTENHAM - WOLVERHAMPTON ,799825,6272,447,6LRUz_ZCadE
68,2022-02-13,BURNLEY - LIVERPOOL,691249,5784,266,GSaSA7b3lxo
69,2022-02-12,NORWICH - MAN CITY ,1039033,9954,506,zj0d2KJXBgk
70,2022-02-12,EVERTON - LEEDS ,640291,5305,260,qqSx6gArgSE
71,2022-02-12,WATFORD - BRIGHTON ,170523,1106,51,04cKF_4ONHY
72,2022-02-12,MANCHESTER UNITED - SOUTHAMPTON ,1836033,16938,2209,D85mZxYaNnk
73,2022-02-12,BRENTFORD - CRYSTAL PALACE ,165150,1069,31,euja8hdLCoI
74,2022-02-10,WOLVERHAMPTON - ARSENAL ,974493,8122,483,PbFCTfvObvM
