,Publish_time,Video_title,View,Like,Comment,Video_ID
142,2021-12-10,BRENTFORD - WATFORD,475137,3858,171,rMDk9_KMt1k
143,2021-12-05,LEEDS UNITED - BRENTFORD,313492,2220,114,4rrjj-ezmUo
144,2021-12-05,TOTTENHAM - NORWICH ,1229944,9449,406,iDo8hIEfCw8
145,2021-12-05,MAN UNITED - CRYSTAL PALACE,2567813,33294,2241,PATDIsIhMXU
146,2021-12-04,WATFORD - MAN CITY ,1284332,12590,750,W4zXnqyI9EY
147,2021-12-04,SOUTHAMPTON - BRIGHTON ,168780,1024,62,9fGwylSv4FM
148,2021-12-04,NEWCASTLE - BURNLEY ,290452,1676,69,V5NwabC5NAo
149,2021-12-04,WOLVERHAMPTON - LIVERPOOL ,1100665,9114,764,hEzAnfwkJWE
150,2021-12-04,WEST HAM - CHELSEA ,1560293,16036,1897,I5Al6ZxLwLM
151,2021-12-02,MANCHESTER UNITED - ARSENAL ,5864150,58997,4355,oNLJBHq92Z0
152,2021-12-02,TOTTENHAM - BRENTFORD,1237889,9416,327,j45sthVYjas
153,2021-12-01,WATFORD - CHELSEA ,1556653,14646,641,ALnomwhaMnc
154,2021-12-01,EVERTON - LIVERPOOL ,1616770,14042,1294,CV2jPBDTZ9Q
155,2021-12-01,ASTON VILLA - MAN CITY,1160589,10065,508,YhNwHtAjZdM
156,2021-12-01,SOUTHAMPTON - LEICESTER ,375287,2376,130,aVtdt8xh8jk
157,2021-12-01,WEST HAM - BRIGHTON ,391454,2605,103,fV7VIU3lUqg
158,2021-12-01,WOLVES - BURNLEY,206152,1482,101,-FfihfsTkds
159,2021-11-30,LEEDS - CRYSTAL PALACE ,449437,3091,171,rZFVmloTPSg
160,2021-11-30,NEWCASTLE - NORWICH ,556413,4080,147,sYK1Ih_IP2E
161,2021-11-28,CHELSEA - MAN UNITED,3476575,35576,4325,I9FAPIZRu90
162,2021-11-28,LEICESTER - WATFORD ,596592,4180,272,5-J6t0Il2zg
163,2021-11-28,MAN CITY - WEST HAM,1288937,11282,412,8ub8Mt0YSyw
164,2021-11-28,BRENTFORD - EVERTON ,304683,1874,49,_9JOhfc5OsI
165,2021-11-27,BRIGHTON - LEEDS ,286855,1558,93,icAiEXkN0TA
166,2021-11-27,VAR CỨU DOUGLAS LUIZ KHỎI THẺ ĐỎ NGAY KHI VỪA ĐƯỢC TUNG VÀO SÂN ,21363,145,13,6gZU8nUIs9A
167,2021-11-27,NORWICH CITY - WOLVERHAMPTON ,209886,1374,40,z3aYhfo4Bps
168,2021-11-27,CRYSTAL PALACE - ASTON VILLA ,487841,3205,181,anDsBb2r4jA
169,2021-11-27,LIVERPOOL - SOUTHAMPTON ,1621912,13506,555,oBQMwIsEDGY
170,2021-11-27,ARSENAL - NEWCASTLE ,1188486,11102,715,yC9jVrGVki8
171,2021-11-21,TOTTENHAM - LEEDS UNITED,1332594,12424,527,PT0nvKXjmgw
172,2021-11-21,MAN CITY - EVERTON,1290950,11969,787,z4fGC23Ovww
173,2021-11-21,BURNLEY - CRYSTAL PALACE,274536,1827,104,fonyNNFO1J4
174,2021-11-20,LIVERPOOL - ARSENAL ,2126606,19816,1962,xKXX7TpttWY
175,2021-11-21,"RAUL JIMENEZ BỎ LỠ CƠ HỘI ĐỐI MẶT, SAU ĐÓ SỬA SAI BẰNG MỘT CÚ SÚT XA HIỂM HÓC ",13287,89,5,F6KbWsAD5X4
176,2021-11-20,WOLVERHAMPTON - WEST HAM ,412073,3314,146,7nqCbkY6m7I
177,2021-11-20,ASTON VILLA - BRIGHTON ,370181,2883,181,ODZYX18hJ9c
178,2021-11-20,NORWICH - SOUTHAMPTON ,192851,1408,54,NaMyZAZbN8A
179,2021-11-20,NEWCASTLE - BRENTFORD ,413780,2741,237,YBQtwb9mYFA
180,Private video,Private video,Private video,Private video,Private video,jkkA70C4Lw4
181,2021-11-20,WATFORD - MANCHESTER UNITED ,2440065,23129,5491,aIDLnByc8NQ
182,2021-11-20,LEICESTER CITY - CHELSEA ,1323801,12451,1053,R7YaZwElDnc
183,2021-11-07,WEST HAM - LIVERPOOL,2048086,21165,2621,1oNkdXWAUM8
184,2021-11-07,LEEDS UNITED - LEICESTER ,661520,4429,346,HjWVQtAzuvo
185,2021-11-07,ARSENAL - WATFORD ,1043332,8416,1253,8nnrlD4Vgug
186,2021-11-07,EVERTON - TOTTENHAM,1364222,10718,447,-ERg9eebIC0
187,2021-11-06,BRIGHTON - NEWCASTLE ,437919,2584,130,0nv10UikLPc
188,2021-11-06,CRYSTAL PALACE - WOLVERHAMPTON ,355920,2281,144,ou3q6hLMqRU
189,2021-11-06,BRENTFORD - NORWICH ,239567,1709,276,0WZPAyRUeCM
190,2021-11-06,CHELSEA - BURNLEY ,1378288,10386,984,hWsmhlg0-o4
191,2021-11-06,MANCHESTER UNITED - MANCHESTER CITY ,3314387,29698,5684,nQetLdj0vWA
192,2021-11-05,SOUTHAMPTON - ASTON VILLA ,556032,4257,243,iL-rLldPp0o
193,2021-11-01,WOLVES - EVERTON ,793195,7126,297,NDH6B4IoqcA
194,2021-10-31,ASTON VILLA - WEST HAM ,716294,5342,307,BmncHLXHHxo
195,2021-10-31,NORWICH - LEEDS UTD ,411425,3163,250,w4citeTJUGE
196,2021-10-30,TOTTENHAM - MAN UNITED,6151499,66187,6372,4YTyVOH0zmo
197,2021-10-30,BURNLEY - BRENTFORD ,200808,1332,120,7b-322wY2HQ
198,2021-10-30,WATFORD - SOUTHAMPTON ,269008,1476,77,wwUyFVJpKjo
199,2021-10-30,MAN CITY - CRYSTAL PALACE ,1450350,11788,1050,RRxeJPcxYR8
200,2021-10-30,NEWCASTLE - CHELSEA ,1318949,11861,1044,1smYdWSzDjs
201,2021-10-30,LIVERPOOL - BRIGHTON ,1675458,12709,792,uGp3OzsievA
202,2021-10-30,LEICESTER CITY - ARSENAL ,1274365,11569,1187,y0BI54C9WDw
203,2021-10-24,MAN UNITED - LIVERPOOL,3648586,38528,7977,774D0Ogbx9Y
204,2021-10-24,BRENTFORD - LEICESTER ,531434,3759,318,hgkDnSmpNKU
205,2021-10-24,WEST HAM - TOTTENHAM,936672,6875,302,On_K8fg9W34
206,2021-10-23,BRIGHTON - MANCHESTER CITY ,1370435,11815,833,YtSCrCeORQk
207,2021-10-23,CRYSTAL PALACE - NEWCASTLE ,379703,2380,129,wJVy2gBm_ss
